"click_label","user_id","item_id","class_id","tag_ids","dev_type","dev_brand","dev_brand_type","dev_os","dev_net","client_type","dev_carrier","click_seq_50size","gender","age","consume_level","unclick_seq_50size","feed_type"
0,"96367608","259780514","4","111;","1","huawei","2","huawei_10","4","0","1","227617646;260930784;251384063;96182883;1003;260924237;260997506;260401174;203860571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;","0","4","1","260701861;210577535;206794135;217998599;260695748;240266248;260083892;239158144;252616969;227840297;256775887;206763911;203322978;256269523;245798709;243379684;252431182;238161298;231050277;259201211;220730973;259662850;257996889;252356744;241556396;250299425;254220566;223188760;252660750;240030477;239565956;249348155;246740287;132372304;239595728;214800720;246492161;206684536;228422300;257437539;236784030;256438994;252951557;249914364;206869403;190577547;226395942;215533819;203718509;235857482","1072"
0,"96367608","260701861","20","1383;","1","huawei","2","huawei_10","4","0","1","260930784;251384063;96182883;1003;260924237;260997506;260401174;203860571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;","0","4","1","210577535;206794135;217998599;260695748;240266248;260083892;239158144;252616969;227840297;256775887;206763911;203322978;256269523;245798709;243379684;252431182;238161298;231050277;259201211;220730973;259662850;257996889;252356744;241556396;250299425;254220566;223188760;252660750;240030477;239565956;249348155;246740287;132372304;239595728;214800720;246492161;206684536;228422300;257437539;236784030;256438994;252951557;249914364;206869403;190577547;226395942;215533819;203718509;235857482;236969594","1018"
0,"964612","238729078","11","230;","1","huawei","2","huawei_10","3","0","3","258530266;258541711;253137884;250777100;256600978;248458632;256106168;255180013;255073101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;","1","4","0","222888542;250660309;239158144;205464305;247842172;235400895;250792920;247716788;184973031;203496056;246739421;242330545;168233547;251461262;213193427;92591334;255674597;254301804;251610471;192376571;253146206;255964769;252844561;252044773;245596561;252695423;252616969;232430942;117475727;195765986;250546133;238343657;107310896;214194467;229169003;201526784;244092771;243858406;246637384;168408723;215748499;193777353;106713831;175990852;237823187;251282762;250221185;222441745;249973981;249965682","1114"
0,"9648592","260830298","5","124;86","1","iphone","1","iphone_ios 14","4","1","1",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;","0","2","0",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;","1003"
0,"9648592","231487735","2","48;","1","iphone","1","iphone_ios 14","3","1","1",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;","0","2","0",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;","1003"
1,"96500238","247703411","1","8;","1","oppo","3","oppo_10","4","0","1","205122180;260964079;237454925;258884259;259780514;210526708;259198866;258931240;260478820;167216397;208246131;239805177;261078971;179181279;204572733;260284157;203955021;260853170;180805666;260824262;247498431;242238092;241498661;221643701;213483330;260441835;218164252;257376915;161010217;235353830;259307687;151087652;243073770;232121834;144980506;227306431;199168248;259351911;234458129;228914896;239319562;204368517;259397731;250560989;254418245;251622425;253564343;253295433;252558304;254937885","1","4","1","242610953;255940560;260190839;239984606;205888343;230016252;259742055;245551727;220194854;199357912;180931356;261059901;260288567;171361074;211235765;260219442;217375737;225025028;173119474;247711980;244211223;260741033;248721026;260284579;230477491;257458534;259766869;205138097;175370216;256634072;241982981;257695945;185150152;260193441;204201315;197784308;253986533;169616917;219473750;244129656;220000274;155312366;259431525;258910452;237372454;244787909;240437467;145731585;191152332;259750261","1044"
1,"96500238","258884259","3","1357;","1","oppo","3","oppo_10","4","0","1","259780514;210526708;259198866;258931240;260478820;167216397;208246131;239805177;261078971;179181279;204572733;260284157;203955021;260853170;180805666;260824262;247498431;242238092;241498661;221643701;213483330;260441835;218164252;257376915;161010217;235353830;259307687;151087652;243073770;232121834;144980506;227306431;199168248;259351911;234458129;228914896;239319562;204368517;259397731;250560989;254418245;251622425;253564343;253295433;252558304;254937885;254408242;253695638;254309405;254695304","1","4","1","242610953;255940560;260190839;239984606;205888343;230016252;259742055;245551727;220194854;199357912;180931356;261059901;260288567;171361074;211235765;260219442;217375737;225025028;173119474;247711980;244211223;260741033;248721026;260284579;230477491;257458534;259766869;205138097;175370216;256634072;241982981;257695945;185150152;260193441;204201315;197784308;253986533;169616917;219473750;244129656;220000274;155312366;259431525;258910452;237372454;244787909;240437467;145731585;191152332;259750261","1100"
1,"96500238","259497268","3","1357;","1","oppo","3","oppo_10","4","0","1","247703411;205122180;260964079;237454925;258884259;259780514;210526708;259198866;258931240;260478820;167216397;208246131;239805177;261078971;179181279;204572733;260284157;203955021;260853170;180805666;260824262;247498431;242238092;241498661;221643701;213483330;260441835;218164252;257376915;161010217;235353830;259307687;151087652;243073770;232121834;144980506;227306431;199168248;259351911;234458129;228914896;239319562;204368517;259397731;250560989;254418245;251622425;253564343;253295433;252558304","1","4","1","260618598;242610953;255940560;260190839;239984606;205888343;230016252;259742055;245551727;220194854;199357912;180931356;261059901;260288567;171361074;211235765;260219442;217375737;225025028;173119474;247711980;244211223;260741033;248721026;260284579;230477491;257458534;259766869;205138097;175370216;256634072;241982981;257695945;185150152;260193441;204201315;197784308;253986533;169616917;219473750;244129656;220000274;155312366;259431525;258910452;237372454;244787909;240437467;145731585;191152332","1100"
1,"96500238","210526708","3","1358;","1","oppo","3","oppo_10","4","0","1","259198866;258931240;260478820;167216397;208246131;239805177;261078971;179181279;204572733;260284157;203955021;260853170;180805666;260824262;247498431;242238092;241498661;221643701;213483330;260441835;218164252;257376915;161010217;235353830;259307687;151087652;243073770;232121834;144980506;227306431;199168248;259351911;234458129;228914896;239319562;204368517;259397731;250560989;254418245;251622425;253564343;253295433;252558304;254937885;254408242;253695638;254309405;254695304;254833947;249862034","1","4","1","242610953;255940560;260190839;239984606;205888343;230016252;259742055;245551727;220194854;199357912;180931356;261059901;260288567;171361074;211235765;260219442;217375737;225025028;173119474;247711980;244211223;260741033;248721026;260284579;230477491;257458534;259766869;205138097;175370216;256634072;241982981;257695945;185150152;260193441;204201315;197784308;253986533;169616917;219473750;244129656;220000274;155312366;259431525;258910452;237372454;244787909;240437467;145731585;191152332;259750261","1098"
1,"96500238","237454925","3","1357;","1","oppo","3","oppo_10","4","0","1","258884259;259780514;210526708;259198866;258931240;260478820;167216397;208246131;239805177;261078971;179181279;204572733;260284157;203955021;260853170;180805666;260824262;247498431;242238092;241498661;221643701;213483330;260441835;218164252;257376915;161010217;235353830;259307687;151087652;243073770;232121834;144980506;227306431;199168248;259351911;234458129;228914896;239319562;204368517;259397731;250560989;254418245;251622425;253564343;253295433;252558304;254937885;254408242;253695638;254309405","1","4","1","242610953;255940560;260190839;239984606;205888343;230016252;259742055;245551727;220194854;199357912;180931356;261059901;260288567;171361074;211235765;260219442;217375737;225025028;173119474;247711980;244211223;260741033;248721026;260284579;230477491;257458534;259766869;205138097;175370216;256634072;241982981;257695945;185150152;260193441;204201315;197784308;253986533;169616917;219473750;244129656;220000274;155312366;259431525;258910452;237372454;244787909;240437467;145731585;191152332;259750261","1105"
